"kd_pkt"|"ur_pkt"
"94"|JENDERAL
"93"|LETJEN
"92"|MAYJEN
"91"|BRIGJEN
"83"|KOLONEL
"82"|LETKOL
"81"|MAYOR
"73"|KAPTEN
"72"|LETTU
"71"|LETDA
"67"|P LETNAN
"66"|PELTU
"65"|PELDA
"64"|SERMA
"63"|SERKA
"62"|SERTU
"61"|SERDA
"56"|KOPKA
"55"|KOPTU
"54"|KOPDA
"53"|PRAKA
"52"|PRATU
"51"|PRADA
"45"|IV/E
"44"|IV/D
"43"|IV/C
"42"|IV/B
"41"|IV/A
"34"|III/D
"33"|III/C
"32"|III/B
"31"|III/A
"24"|II/D
"23"|II/C
"22"|II/B
"21"|II/A
"14"|I/D
"13"|I/C
"12"|I/B
"11"|I/A
"10"|CAPEG
"09"|PPPK GOL XI
"08"|PPPK GOL X
"07"|PPPK GOL IX
"06"|PPPK GOL VIII
"05"|PPPK GOL VII
"04"|PPPK GOL VI
"03"|PPPK GOL V
"02"|PPPK GOL IV
"01"|PPPK GOL III
"00"|PPPK GOL II
-|TIDAK DIKETAHUI
