"kd_ktm"|"kd_smkl"|"ur_smkl"
"01"|"1A0B"|YONIF 100 /PRAJURIT SETIA
"01"|"1A1A"|BRIGIF 7 /RIMBA RAYA
"01"|"1A1B"|YONIF 122 /TOMBAK SAKTI
"01"|"1A1C"|YONIF 125 /SIMBISA
"01"|"1A1D"|YONIF 126 /KALA SAKTI
"01"|"1A2A"|BRIGIF TP 36 /HARAJAON MARPITU
"01"|"1A2B"|YONIF TP 852 /ABHINAYA BALA YUDHA
"01"|"1A2C"|YONIF TP 901 /SUHUL GADING
"01"|"1A2D"|YONIF TP 902 /SRI PADUKA GOCAH
"01"|"1A2E"|YONIF TP 903 /BALUSEDA
"01"|"1A3A"|BRIGIF TP 37 /HUJUR SIRINGGIS
"01"|"1A3B"|YONIF TP 904 /GARA MATA
"01"|"1A3C"|YONIF TP 905 /TUAN SYAH
"01"|"1A3D"|YONIF TP 906 /SANALENGGAM
"01"|"1A3E"|YONIF TP 907 /DEWA SHAHDAN
"01"|"1A3F"|YONIF TP 908 /GAJA DOMPAK
"01"|"1A4B"|YONIF 121 /MACAN KUMBANG
"01"|"1A4C"|YONIF 123 /RAJAWALI
"01"|"1B0B"|YONKAV 6 /NAGA KARIMATA
"01"|"1C0B"|YONARMED 2 /KILAP SUMAGAN
"01"|"1D0B"|YONARHANUD 11 /WIRA BHUANA YUDHA
"01"|"1D1A"|MENARHANUD 2 / SISINGAMANGARAJA KODAM I /BB
"01"|"1E0B"|YONZIPUR 1 /DHIRA DHARMA
"01"|"2Z0B"|KODIM 0201 /MEDAN
"01"|"2Z3A"|KOREM 022 /PANTAI TIMUR
"01"|"2Z3B"|KODIM 0207 /SIMALUNGUN REM 022
"01"|"2Z3C"|KODIM 0208 /ASAHAN REM 022
"01"|"2Z3D"|KODIM 0209 /LABUHAN REM 022
"01"|"2Z3E"|KODIM 0203 /LANGKAT REM 022
"01"|"2Z3F"|KODIM 0204 /DELI SERDANG REM 022
"01"|"2Z4A"|KOREM 023 /KAWAL SAMUDRA
"01"|"2Z4B"|KODIM 0210 /TAPANULI UTARA REM 023
"01"|"2Z4C"|KODIM 0211 /TAPANULI TENGAH REM 023
"01"|"2Z4D"|KODIM 0212 /TAPANULI SELATAN REM 023
"01"|"2Z4E"|KODIM 0213 /NIAS REM 023
